ID,Year,Month,BranchCodeText,BranchCode,BranchName,AreaName,SAM,Region,Segment,AlertTotal,AlertClosed,AlertOutStanding,AlertRatio,AlertScore,STRRaised,STRRaisedScore,STRConverted,STRConvertedScore,CLTrainingTotal,CLTrainingClosed,CLTrainingOutStanding,CLTrainingRatio,CLTrainingScore,ELTrainingTotal,ELTrainingClosed,ELTrainingOutStanding,ELTrainingRatio,ELTrainingScore,KYCTotal,KYCclosed,KYCOutStanding,KYCRatio,KYCScore,BranchReviewTotal,BranchReviewClose,BranchReviewOutStanding,BranchReviewRatio,BranchReviewScore,PEPTotal,PEPClose,PEPOutstanding,PEPRatio,PEPScore,TOP100Ratio,TOP100Score,TotalScore,TotalScoreWOBonus,RankOrder,RegionRankOrder,Threshold,
35117,2019,09,0001,1,Bohra Bazar,Saddar,SAM East,Karachi,Retail,2,0,2,0,0,,,,,1,1,0,1,10,4,4,0,1,10,29,29,0,1,20,34,34,0,1,20,0,0,0,1,0,1,15,75,75,1548,167,Partially Compliant,
34957,2019,09,0002,2,MA Jinnah Rd,Court Area,SAM West,Karachi,Retail,11,11,0,1,25,,,,,1,1,0,1,10,9,9,0,1,10,47,47,0,1,20,35,35,0,1,20,0,0,0,1,0,1,15,100,100,239,35,Fully Compliant,
34961,2019,09,0004,4,Cloth Market,Court Area,SAM West,Karachi,Retail,13,13,0,1,25,,,,,0,0,0,1,10,13,13,0,1,10,74,74,0,1,20,57,57,0,1,20,0,0,0,1,0,1,15,100,100,228,34,Fully Compliant,
36023,2019,09,0007,7,FOREIGN EXCH. BR.;,Plaza,SAM West,Karachi,Retail,4,0,4,0,0,,,,,0,0,0,1,10,0,0,0,1,10,229,223,6,0.9737991,19.47598,0,0,0,1,20,0,0,0,1,0,1,15,74.47598,74.47598,1577,172,Partially Compliant,
34965,2019,09,0008,8,Iddgah,Court Area,SAM West,Karachi,Retail,11,11,0,1,25,,,,,1,1,0,1,10,9,9,0,1,10,61,61,0,1,20,66,66,0,1,20,0,0,0,1,0,1,15,100,100,539,6,Fully Compliant,
34970,2019,09,0012,12,Zamzama; Boulevard; DHA,DHS,SAM South,Karachi,Retail,23,22,1,0.9565217,23.91304,,,,,1,0,1,0,0,7,7,0,1,10,351,350,1,0.997151,19.94302,39,39,0,1,20,0,0,0,1,0,1,15,88.85606,88.85606,1326,113,Partially Compliant,
35032,2019,09,0013,13,Kharadar,HB Annexe Area,SAM West,Karachi,Retail,8,0,8,0,0,,,,,0,0,0,1,10,7,6,1,0.8571429,8.571428,89,89,0,1,20,0,0,0,1,20,0,0,0,1,0,1,15,73.571428,73.571428,1591,175,Partially Compliant,
35021,2019,09,0014,14,Civic Centre (KDA),Gulshan,SAM North,Karachi,Retail,10,8,2,0.8,20,,,,,0,0,0,1,10,10,10,0,1,10,174,148,26,0.8505747,17.01149,0,0,0,1,20,0,0,0,1,0,1,15,92.01149,92.01149,1266,101,Significantly Compliant,
35033,2019,09,0015,15,K.M.C.,HB Annexe Area,SAM West,Karachi,Retail,12,10,2,0.8333333,20.83333,,,,,1,1,0,1,10,9,9,0,1,10,849,620,229,0.7302709,14.60542,72,71,1,0.9861111,19.72222,0,0,0,1,0,1,15,90.16097,90.16097,1300,109,Significantly Compliant,
34996,2019,09,0017,17,New Town,Garden,SAM South,Karachi,Retail,18,17,1,0.9444444,23.61111,,,,,0,0,0,1,10,8,8,0,1,10,132,132,0,1,20,35,35,0,1,20,0,0,0,1,0,1,15,98.61111,98.61111,950,58,Significantly Compliant,
